Episode,Reward,Avg_Delay,Throughput,Dropped,Energy
0,-75956.97401653898,103.8672032567628,1031657317.3247582,7316,372.194366570003
1,-75900.31852656887,256.54855984581167,1036038786.0100764,7311,371.73336281427277
2,-75995.57507249291,75.81131421883998,1014506093.9170558,7318,372.38956260282436
3,-77863.1855972625,597.6916309990942,776116694.2376151,7482,373.7483752767576
4,-71210.68895595877,45.49753767486529,1672367080.3640823,6902,369.215342211889
5,-73570.0085032025,43.48803045081701,1352017051.6543462,7108,370.19365059768614
6,-76887.12933916498,202.81436614613867,874118297.0231413,7393,373.35408913164906
7,-76114.73641930503,144.88889090006444,982575540.1633396,7327,372.12641591376916
8,-75256.47601241156,246.1060677736182,1098526145.5377843,7252,371.6911921230513
9,-79983.1986710222,983.2671141074919,492953660.04697967,7669,373.60671077381033
10,-76134.06900080481,324.7339183616927,977040560.7773503,7328,372.5466321484504
11,-78777.38424180928,447.17299181125856,645364393.2920816,7562,373.5323109938297
12,-73446.24543044838,162.80048919239644,1348779358.1901925,7095,370.5122626113479
13,-75287.98938361814,99.86144986443816,1103585070.7232137,7256,371.3480628148401
14,-72071.85901146181,25.19686179810461,1560420260.8376517,6977,370.22522393925215
15,-76276.60596379443,75.35355264857974,980348508.591297,7345,370.5168792677095
16,-72534.4479144102,142.55198367245487,1484404070.237988,7016,370.43212383183504
17,-73913.45659441812,47.778750082213456,1282821087.6133888,7135,371.02246676855265
18,-64952.059626498936,13.90164218079647,2584493598.252007,6363,365.22610865526457
19,-76607.8878686694,293.14955330185245,958451035.6623863,7374,372.6907821218413
20,-75903.07884797626,96.91798893772808,1021225372.9642112,7309,372.53871473313274
21,-74536.47875981622,82.94545589994645,1224130921.789644,7192,371.326461977764
22,-72243.58320354267,62.57807299160757,1508714310.865798,6989,370.41308111885775
23,-76900.57364176847,247.37581757895504,909823619.9275368,7400,371.7298745250861
24,-74105.45409312,51.148316652150704,1277881563.4173114,7154,371.0525649367996
25,-74119.19023230528,82.62096153635498,1302571783.628584,7159,370.11036593462364
26,-78068.34736330442,151.8942750517994,714437888.8464137,7496,374.2308820708921
27,-73441.36924589987,50.23265424649452,1379346333.2765307,7098,370.148943543253
28,-73787.59265671694,65.36982601034926,1294716830.7946298,7124,370.44678463931274
29,-66112.91497171557,29.11018289780084,2429465791.378704,6464,366.32833547329113
30,-71682.72305607551,92.9166273959232,1611789349.2675166,6943,369.84221681921025
31,-76873.35452342631,225.25590964959886,905859272.5839224,7395,373.36662310729383
32,-76318.74218529985,217.5582685934757,1016413817.7371942,7351,372.288345312062
33,-75197.60271165676,207.83068560588336,1150840126.298064,7252,371.0899171000441
34,-73602.07264032966,32.038484624065944,1380350445.9257164,7114,370.43809952100383
35,-74778.85159353129,170.30532932986725,1214314930.440027,7216,371.2569706244571
36,-70322.46257886128,115.45675368139388,1779396151.4940438,6823,368.9122851798168
37,-74631.81681904978,227.75419758351288,1213077961.5354424,7201,371.1692053119831
38,-69671.3114064791,59.04146490277244,1837852821.5166755,6763,368.62269905565995
39,-66311.71595672285,30.300396420338096,2348653846.428824,6478,364.60197894147063
40,-78852.10381142396,986.082917405036,631124659.2442375,7567,374.5137166125589
41,-75265.77370800753,129.72851884508634,1076478856.9661252,7249,373.2490152054295
42,-68616.45222970723,9.595408423486177,2025915392.0077457,6675,368.62504247310017
43,-72086.1912651789,133.98083994316175,1505575876.5255404,6973,370.05585671070907
44,-68857.79803115713,20.975771791102694,2023099118.0779455,6701,366.96857410936894
45,-77203.0220540959,79.35810062494028,870878208.8282539,7426,372.4238312589377
46,-73844.12811845797,59.43115730985295,1314034581.8921204,7132,370.30722819774695
47,-68563.76454355085,57.92235146581617,2022929585.301815,6671,366.84987795076324
48,-71753.0053057687,50.37632754954358,1571184317.0055704,6946,369.804405752843
49,-73148.17119611756,290.05014880354787,1382900738.2340627,7068,370.59732794291
50,-77772.0264562111,150.96140572024112,777361537.3403699,7473,373.5386141761766
51,-75698.22077086655,63.44630956653054,1029199400.9689755,7289,372.45442431511304
52,-75612.16851879496,422.59487113477667,1059569978.579238,7284,372.00892941657816
53,-68520.35800753563,31.880431071822283,2013454056.1372523,6666,366.40610862990195
54,-75830.79891759618,198.97220522578885,992452552.3089018,7299,372.51189016382517
55,-71531.00796989311,61.362594868645935,1634185732.456715,6931,368.78267240629145
56,-78932.35621007367,449.78507118875365,664143966.4667376,7580,373.119449790538
57,-76188.88441843206,74.97012529589668,959257376.9687302,7332,372.3200136209191
58,-74983.06960501557,185.28506207483247,1157222957.8523324,7230,372.0252269317199
59,-73584.92204657341,45.521676073979286,1343211207.2348142,7108,370.88627655864184
60,-73928.90614992312,73.27582872504252,1239666668.7521236,7132,371.13550656670503
