Episode,Reward,Avg_Delay,Total_Energy
0,-555.0968896340944,1.9219048973352384,341.4318214403556
1,-619.7316994331876,2.2572910674212507,336.546972012316
2,-556.6980465306699,1.9295900888043642,341.56005658591954
3,-665.0289191963037,2.4900730656864485,334.028611049913
4,-652.1430267958882,2.4237740305829676,334.776442121529
5,-661.6481409212562,2.4720387877168726,334.48076603097184
6,-636.9061297630902,2.3434877876115388,336.4171449774765
7,-588.0652574115365,2.0908014315623173,339.8099421981463
8,-632.7984680519336,2.3205080629930137,337.3937102581625
9,-650.3040548024375,2.412870008701127,335.4601063914531
10,-644.8322614153566,2.384502968318076,335.8633346261024
11,-644.6178523365297,2.3837702583764027,335.7276009791757
12,-665.8116876510793,2.4932884104691695,334.3080116104019
13,-659.1759696864884,2.4594509008841463,334.57157989669946
14,-658.1794776892787,2.455665009689931,334.092950625205
15,-597.8257742325209,2.141836095620146,338.91711048401345
16,-695.1949523527705,2.64640314685744,331.8286479843549
17,-665.0876901646288,2.4912122179647302,333.6904931433663
18,-658.4089554412934,2.4554812711980074,334.62540110638554
19,-628.9054422759533,2.3048359088715076,335.87652138477284
20,-618.8400103073279,2.2521215770858394,336.8313887884991
21,-595.9427301398215,2.133958947305433,338.30188162449826
22,-669.526948892532,2.514514642715436,333.24804069888967
23,-561.7435476185151,1.9586741726497445,340.01742613898574
24,-640.8971173657936,2.367077784208012,334.96312013285564
25,-554.2008619276556,1.9188569807180154,340.8589296226103
26,-595.2547370374795,2.1352462024648027,336.41099286015526
27,-605.5101111176577,2.18722041518317,336.1320555135486
28,-607.0832022633102,2.192365569170968,337.220176247882
29,-595.3472103438636,2.1319009140591954,337.9340544536976
30,-627.0095687279822,2.291572352827836,337.3901967063008
31,-561.1378659492269,1.9535021260926557,340.87488134695144
32,-648.3101608648922,2.4056241267403378,334.37067030885765
33,-583.1020255735901,2.070277470276182,338.0930629222661
34,-673.5513349100025,2.537609853578282,332.05872903719006
35,-587.0437284507847,2.0911819577379025,337.61467376826226
36,-666.1962949735007,2.4988361950334976,332.85811166657317
37,-640.9169943280993,2.366122309475973,335.3850658576316
38,-610.8478530290663,2.2120644869580235,336.8699125719202
39,-655.6053268635969,2.4390798052185816,335.57873297490494
40,-679.3393129451614,2.5584750878231044,335.28859076108165
41,-659.6289578197363,2.45895928829473,335.67419940605316
42,-627.6747616623237,2.2919572348175676,338.5666284439452
43,-592.8893387418967,2.1150153883205585,339.7725227277751
